name,tier,pos
Patrick Mahomes II,1,QB
Kyler Murray,1,QB
Aaron Rodgers,2,QB
Deshaun Watson,2,QB
Lamar Jackson,2,QB
Josh Allen,2,QB
Jalen Hurts,2,QB
Justin Herbert,3,QB
Tom Brady,3,QB
Ryan Tannehill,3,QB
Russell Wilson,4,QB
Mitchell Trubisky,4,QB
Baker Mayfield,4,QB
Jared Goff,5,QB
Tua Tagovailoa,5,QB
Drew Brees,6,QB
Matt Ryan,6,QB
Matthew Stafford,6,QB
Kirk Cousins,6,QB
Ben Roethlisberger,7,QB
Philip Rivers,7,QB
Marcus Mariota,7,QB
Cam Newton,7,QB
Teddy Bridgewater,7,QB
Drew Lock,8,QB
Andy Dalton,8,QB
Derrick Henry,1,RB
David Montgomery,1,RB
Aaron Jones,1,RB
Alvin Kamara,1,RB
Dalvin Cook,1,RB
Nick Chubb,2,RB
Austin Ekeler,2,RB
Miles Sanders,2,RB
Josh Jacobs,2,RB
J.K. Dobbins,2,RB
Jonathan Taylor,3,RB
David Johnson,3,RB
Chris Carson,3,RB
D'Andre Swift,3,RB
Tony Pollard,4,RB
Melvin Gordon III,4,RB
Mike Davis,5,RB
Kenyan Drake,5,RB
Kareem Hunt,5,RB
Le'Veon Bell,5,RB
Salvon Ahmed,5,RB
James Robinson,5,RB
Leonard Fournette,6,RB
Sony Michel,6,RB
J.D. McKissic,6,RB
Darrell Henderson,7,RB
Wayne Gallman,7,RB
Devin Singletary,7,RB
Chase Edmonds,7,RB
Gus Edwards,7,RB
Zack Moss,7,RB
James Conner,8,RB
Jeff Wilson Jr.,8,RB
Giovani Bernard,9,RB
Phillip Lindsay,9,RB
Latavius Murray,9,RB
Frank Gore,9,RB
Nyheim Hines,9,RB
Ito Smith,9,RB
Kalen Ballage,9,RB
Davante Adams,1,WR
Tyreek Hill,1,WR
DeAndre Hopkins,1,WR
Calvin Ridley,1,WR
Stefon Diggs,1,WR
A.J. Brown,1,WR
D.K. Metcalf,2,WR
Allen Robinson II,2,WR
Justin Jefferson,2,WR
Keenan Allen,2,WR
Mike Evans,3,WR
Brandon Aiyuk,3,WR
Terry McLaurin,3,WR
Robert Woods,4,WR
Adam Thielen,4,WR
Jarvis Landry,4,WR
D.J. Moore,4,WR
Marvin Jones Jr.,4,WR
Diontae Johnson,5,WR
Chris Godwin,5,WR
Cooper Kupp,5,WR
Brandin Cooks,5,WR
Amari Cooper,5,WR
Corey Davis,5,WR
T.Y. Hilton,6,WR
Robby Anderson,6,WR
Tyler Lockett,6,WR
Curtis Samuel,6,WR
JuJu Smith-Schuster,6,WR
Cole Beasley,6,WR
Emmanuel Sanders,7,WR
Marquise Brown,7,WR
Antonio Brown,7,WR
Rashard Higgins,7,WR
Chase Claypool,7,WR
Keke Coutee,8,WR
CeeDee Lamb,8,WR
Tyron Johnson,8,WR
D.J. Chark Jr.,8,WR
Russell Gage,8,WR
Tim Patrick,9,WR
Tee Higgins,9,WR
Nelson Agholor,9,WR
Tyler Boyd,9,WR
Allen Lazard,9,WR
Jakobi Meyers,10,WR
Jerry Jeudy,10,WR
Michael Pittman Jr.,10,WR
Marquez Valdes-Scantling,11,WR
Gabriel Davis,11,WR
Chad Hansen,11,WR
Jamison Crowder,11,WR
Sterling Shepard,11,WR
Darius Slayton,11,WR
Mike Williams,11,WR
Michael Gallup,11,WR
Christian Kirk,12,WR
Sammy Watkins,12,WR
Darnell Mooney,12,WR
Tre'Quan Smith,12,WR
Travis Kelce,1,TE
Darren Waller,1,TE
Mark Andrews,1,TE
T.J. Hockenson,2,TE
Noah Fant,2,TE
Hunter Henry,2,TE
Robert Tonyan,3,TE
Logan Thomas,3,TE
Rob Gronkowski,3,TE
Dallas Goedert,3,TE
Jared Cook,4,TE
Eric Ebron,4,TE
Evan Engram,4,TE
Jonnu Smith,4,TE
Cole Kmet,5,TE
Austin Hooper,5,TE
Zach Ertz,5,TE
Dalton Schultz,6,TE
Tyler Higbee,6,TE
Hayden Hurst,6,TE
Jordan Reed,6,TE
Irv Smith Jr.,7,TE
Dan Arnold,7,TE
Dawson Knox,7,TE
Justin Tucker,1,K
Harrison Butker,1,K
Younghoe Koo,1,K
Wil Lutz,1,K
Ryan Succop,1,K
Jason Sanders,1,K
Tyler Bass,1,K
Ka'imi Fairbairn,2,K
Rodrigo Blankenship,2,K
Daniel Carlson,3,K
Jason Myers,3,K
Cody Parkey,3,K
Greg Zuerlein,3,K
Mike Nugent,3,K
Matt Gay,3,K
Mason Crosby,3,K
Jake Elliott,3,K
Cairo Santos,3,K
Stephen Gostkowski,4,K
Robbie Gould,4,K
Cleveland Browns,1,DST
Baltimore Ravens,1,DST
Chicago Bears,2,DST
Miami Dolphins,2,DST
Buffalo Bills,2,DST
Washington Football Team,3,DST
Tampa Bay Buccaneers,3,DST
Arizona Cardinals,3,DST
New Orleans Saints,3,DST
Los Angeles Chargers,3,DST
Los Angeles Rams,4,DST
Houston Texans,4,DST
Philadelphia Eagles,4,DST
Pittsburgh Steelers,4,DST
Kansas City Chiefs,4,DST
Indianapolis Colts,4,DST
Carolina Panthers,5,DST
Seattle Seahawks,5,DST
Denver Broncos,5,DST
San Francisco 49ers,5,DST
