week,Charlie BakerCommissioner,DanS,David,Ken,Mike Pearson,Nicholas Saunders,Ryan Cunningham,Sara,Stuky,Tony,Wap Wap,jbaker6
10,112.75999999999999,114.04000000000002,57.82000000000001,56.260000000000005,53.519999999999996,102.36,77.22,107.24,69.82,95.60000000000001,68.03999999999999,100.39999999999999
11,116.12,68.03999999999999,90.0,75.98,102.02,95.44,101.84,96.72,87.68,121.32000000000001,110.38,131.14000000000001
12,120.78000000000002,90.7,96.46,77.0,94.78,84.72,100.32000000000001,104.49999999999999,123.50000000000001,75.69999999999999,52.339999999999996,146.34000000000003
13,92.4,94.2,100.75999999999999,106.14000000000001,94.12,92.28,106.88000000000001,100.77999999999999,55.31999999999999,118.72,51.5,119.5
14,119.82,94.64,97.36,54.760000000000005,77.52,104.02,89.53999999999999,78.55999999999999,130.64,100.25999999999999,49.07999999999999,86.3
15,137.45999999999998,85.19999999999999,71.16,88.84,94.66000000000001,116.62,97.72,92.98000000000002,91.24000000000001,98.44,54.3,106.82
16,114.1,114.02,115.85999999999999,79.3,100.22,84.02,120.36000000000001,73.9,74.64,93.78,97.58,116.34000000000002
1,117.08,117.06,100.84,79.69999999999999,88.24000000000001,101.89999999999999,84.52,72.38,102.97999999999999,124.99999999999999,132.9,82.69999999999999
2,151.2,100.28,102.5,102.02,97.38000000000001,84.16,133.4,101.76,122.41999999999999,160.84,90.08,84.98
3,92.34,97.28,108.08000000000001,82.22,126.9,89.38,89.34,100.7,163.1,127.69999999999999,88.72,100.92
4,118.32,111.86,111.08,83.6,99.10000000000001,81.22,123.77999999999999,112.24000000000001,108.40000000000002,108.62,79.83999999999999,129.08
5,78.92,107.22,82.94,95.24,107.4,88.6,99.58,58.580000000000005,97.98,116.10000000000001,111.5,62.52
6,107.97999999999999,93.34,96.32,114.64,64.9,107.14,83.4,59.519999999999996,101.52,92.12,106.07999999999998,75.4
7,96.97999999999999,95.66,77.2,88.66,87.3,105.67999999999999,95.92,103.4,80.32000000000001,132.09999999999997,85.38,102.32000000000001
8,64.96000000000001,70.55999999999999,53.160000000000004,103.34,132.44,80.52,70.11999999999999,104.44,108.83999999999999,65.64,103.20000000000002,124.94000000000001
9,124.99999999999999,73.56,110.06000000000002,85.86,83.38000000000001,62.199999999999996,91.44000000000001,68.98,90.3,97.92,106.94,135.1
